Date,Salesperson,SaleType,Price,Discontinued
2015-08,David,Subscription,192.92,False
2020-01,David,Buyout,1225.95,N/A
2024-10,David,Subscription,136.98,False
2015-11,David,Buyout,1034.69,N/A
2021-03,Charlie,Buyout,1730.51,N/A
2016-08,David,Subscription,65.68,False
2023-03,Charlie,Buyout,1378.53,N/A
2017-08,David,Subscription,145.04,False
2020-12,Bob,Subscription,78.95,False
2020-07,Charlie,Subscription,155.08,True
2023-06,David,Subscription,178.28,False
2016-07,David,Buyout,1261.77,N/A
2019-08,Alice,Buyout,1202.91,N/A
2023-06,Alice,Buyout,1477.28,N/A
2023-01,Charlie,Buyout,1210.14,N/A
2023-01,David,Subscription,148.37,True
2020-01,Eve,Buyout,1647.32,N/A
2016-04,David,Buyout,1722.15,N/A
2022-11,Bob,Subscription,130.69,True
2024-01,Charlie,Buyout,1442.27,N/A
2020-03,Eve,Subscription,133.3,False
2015-07,Alice,Buyout,1185.59,N/A
2021-07,David,Subscription,84.15,True
2021-02,Alice,Subscription,184.4,False
2020-12,Eve,Buyout,1762.71,N/A
2024-12,Alice,Buyout,1345.72,N/A
2015-12,Alice,Buyout,1850.75,N/A
2018-06,David,Subscription,72.89,True
2018-12,Charlie,Subscription,137.17,False
2021-06,Bob,Buyout,1095.54,N/A
2022-06,Eve,Buyout,1130.25,N/A
2017-03,David,Subscription,57.46,False
2016-09,Eve,Subscription,96.59,False
2020-01,Eve,Subscription,119.4,False
2022-08,David,Buyout,1075.82,N/A
2017-10,Charlie,Subscription,163.54,True
2022-06,Charlie,Subscription,72.25,True
2018-07,Charlie,Buyout,1555.93,N/A
2018-07,David,Subscription,133.54,True
2017-01,Bob,Subscription,190.46,True
2016-09,Alice,Subscription,73.95,True
2022-03,Alice,Buyout,1649.87,N/A
2020-07,David,Buyout,1047.7,N/A
2019-09,Eve,Buyout,1287.38,N/A
2015-08,David,Buyout,1276.73,N/A
2019-12,Bob,Subscription,168.64,True
2020-03,Bob,Buyout,1656.56,N/A
2018-05,Alice,Buyout,1259.19,N/A
2017-03,Alice,Subscription,90.37,True
2024-12,Alice,Subscription,187.43,True
2023-07,Eve,Subscription,81.38,True
2020-05,Alice,Buyout,1672.21,N/A
2021-05,Charlie,Buyout,1049.96,N/A
2016-12,Bob,Subscription,180.71,True
2019-01,David,Buyout,1800.79,N/A
2019-10,Eve,Buyout,1257.08,N/A
2024-05,Bob,Subscription,185.87,True
2017-12,Alice,Buyout,1565.79,N/A
2018-07,David,Buyout,1924.68,N/A
2022-05,Alice,Buyout,1913.58,N/A
2015-01,Bob,Subscription,167.18,False
2017-12,Bob,Buyout,1820.74,N/A
2017-09,Eve,Buyout,1854.3,N/A
2019-03,Eve,Subscription,102.12,False
2021-04,Eve,Subscription,63.64,False
2024-10,David,Subscription,149.1,True
2022-06,Bob,Buyout,1312.23,N/A
2017-05,Bob,Buyout,1080.64,N/A
2022-05,David,Subscription,53.38,False
2023-07,Alice,Buyout,1968.18,N/A
2023-10,Charlie,Buyout,1581.86,N/A
2021-10,Bob,Buyout,1123.71,N/A
2021-05,Alice,Buyout,1770.61,N/A
2018-07,David,Buyout,1083.79,N/A
2016-08,Alice,Subscription,164.3,False
2018-02,Alice,Subscription,153.6,True
2015-09,Charlie,Subscription,176.52,False
2015-10,Bob,Subscription,182.98,False
2023-12,Bob,Subscription,199.56,True
2020-11,Charlie,Subscription,85.82,True
2016-11,Bob,Buyout,1869.07,N/A
2023-01,David,Subscription,171.19,False
2023-10,Alice,Buyout,1430.54,N/A
2017-07,Charlie,Buyout,1060.62,N/A
2018-04,Bob,Buyout,1363.67,N/A
2017-11,Alice,Buyout,1198.77,N/A
2024-04,David,Buyout,1157.39,N/A
2021-10,Charlie,Subscription,86.0,False
2020-01,David,Buyout,1832.47,N/A
2017-02,Bob,Subscription,186.1,False
2021-06,Alice,Buyout,1595.02,N/A
2022-02,David,Buyout,1735.49,N/A
2022-11,Charlie,Buyout,1081.1,N/A
2021-02,Charlie,Subscription,173.05,False
2024-08,Eve,Buyout,1943.71,N/A
2023-12,Eve,Buyout,1655.02,N/A
2022-07,Eve,Buyout,1171.77,N/A
2016-07,Alice,Buyout,1238.39,N/A
2018-10,Bob,Buyout,1512.14,N/A
2019-08,David,Subscription,121.83,True
2017-06,Eve,Buyout,1928.58,N/A
2022-07,Eve,Subscription,144.61,False
2017-09,Charlie,Buyout,1142.89,N/A
2019-01,Eve,Subscription,80.67,False
2015-12,David,Subscription,71.49,True
2018-05,David,Subscription,181.49,False
2019-10,Alice,Subscription,175.53,False
2024-01,Bob,Subscription,127.63,True
