Date,Year,Month,Quarter,Season,Salesperson,SaleType,Region,Product_Line,Performance_Level,Incident_Impact_Category,Incident_Type,Economic_Index,Marketing_Budget,Lead_Generation,Sales_Volume,Revenue,Customer_Satisfaction,Training_Hours,Market_Competition,Profit_Margin,Incident_Impact,Incident_Description,Price,Salesperson_Skill,Product_Tier,Employee_ID,Office_Temperature,Random_Factor,SaleType_Numeric,Region_Numeric
2015-08-01,2015,8,3,Summer,David,Subscription,East,Standard,Medium,Neutral,none,99.03,52825.61,184.67,827.75,159689.08,7.41,34.98,3.2,0.3,0.0,,192.92,4,2,2942,71.22,-0.18,0,1
2020-01-01,2020,1,1,Winter,David,Buyout,West,Standard,Medium,Neutral,enterprise_budget_cuts,110.0,48670.68,184.87,717.68,879839.52,7.62,47.19,3.21,0.28,-0.1,Enterprise Budget Cuts (-20%),1225.95,4,2,2210,70.07,2.31,1,4
2024-10-01,2024,10,4,Fall,David,Subscription,North,Basic,Medium,Neutral,none,107.53,59199.29,178.23,783.22,107286.14,6.71,50.13,4.34,0.22,0.0,,136.98,4,1,8809,72.57,-1.5,0,2
2015-11-01,2015,11,4,Fall,David,Buyout,East,Standard,Medium,Neutral,none,97.75,42151.1,169.02,748.9,774876.19,9.05,27.11,4.24,0.33,0.0,,1034.69,4,2,6408,69.68,-0.21,1,1
2021-03-01,2021,3,1,Spring,Charlie,Buyout,East,Basic,Medium,Neutral,none,112.9,76098.71,213.55,779.67,1349232.95,6.41,49.38,3.49,0.19,0.0,,1730.51,3,1,9368,70.47,1.32,1,1
2016-08-01,2016,8,3,Summer,David,Subscription,West,Premium,Medium,Neutral,none,95.94,58882.75,188.81,858.08,56358.45,9.85,30.14,3.43,0.43,0.0,,65.68,4,3,4436,68.0,2.22,0,4
2023-03-01,2023,3,1,Spring,Charlie,Buyout,North,Basic,Medium,Negative,enterprise_compliance_issue,117.87,61603.71,178.22,650.38,896569.25,6.77,64.75,3.53,0.23,-0.14,Enterprise Compliance Issue (-14%),1378.53,3,1,6871,75.06,-0.19,1,2
2017-08-01,2017,8,3,Summer,David,Subscription,North,Basic,Medium,Neutral,none,95.46,54462.46,183.68,798.41,115801.81,6.92,38.2,4.12,0.22,0.0,,145.04,4,1,5244,69.34,0.62,0,2
2020-12-01,2020,12,4,Winter,Bob,Subscription,East,Premium,Medium,Neutral,subscription_feature_launch,104.61,47802.86,196.42,823.55,65018.93,7.19,46.08,3.71,0.44,0.07,Subscription Feature Launch (+14%),78.95,2,3,5925,75.67,0.98,0,1
2020-07-01,2020,7,3,Summer,Charlie,Subscription,South,Standard,Medium,Negative,pandemic_impact,105.04,65557.96,183.04,625.43,96991.14,7.64,45.96,4.0,0.17,-0.17,Pandemic Impact (-35%),155.08,3,2,8836,69.13,0.7,0,3
2023-06-01,2023,6,2,Summer,David,Subscription,East,Premium,Medium,Neutral,none,111.96,76451.61,188.71,863.0,153854.85,8.89,53.96,3.92,0.32,0.0,,178.28,4,3,5477,68.0,0.31,0,1
2016-07-01,2016,7,3,Summer,David,Buyout,East,Basic,Medium,Neutral,none,99.69,62444.65,180.13,771.96,974037.83,5.13,39.14,3.46,0.27,0.0,,1261.77,4,1,7934,68.0,1.4,1,1
