Date,Salesperson,Region,Product_Category,Marketing_Spend,Lead_Generation,Sales_Volume,Revenue,Customer_Satisfaction,Training_Hours,Market_Competition,Price,Customer_Acquisition_Cost,Profit_Margin,Seasonal_Factor,Economic_Index,Digital_Marketing,Social_Media_Engagement,Website_Traffic,Conversion_Rate,Customer_Retention,Product_Quality_Score,Brand_Awareness,Competitor_Price,Market_Share
2015-01-01,Frank,East,Services,45062.16,143.0,104.0,37328.85,7.97,37.4,5.1,360.53,2000.0,0.353,0.77,101.81,13365.02,1755.0,8566.0,0.156,0.947,8.75,6.76,375.42,0.172
2015-01-01,Alice,Central,Services,41171.52,172.0,100.0,37313.3,7.93,33.4,6.0,373.13,1824.04,0.327,0.77,96.56,9080.6,1719.0,5731.0,0.131,0.805,8.02,6.61,402.48,0.162
2015-01-01,Frank,Central,Services,42505.3,144.0,100.0,36516.54,7.09,44.0,5.07,365.17,2000.0,0.287,0.77,98.6,11379.9,2492.0,7026.0,0.141,0.838,8.03,6.77,357.84,0.151
2015-01-01,Henry,South,Software,45978.26,176.0,123.0,60889.73,7.75,50.9,5.19,493.77,1834.38,0.272,0.85,98.45,13721.61,2886.0,4344.0,0.142,0.91,8.42,5.84,483.3,0.159
2015-01-01,Frank,South,Consulting,51102.19,106.0,100.0,128564.41,7.09,45.4,6.31,1285.64,2000.0,0.322,0.68,98.81,13874.91,1975.0,4418.0,0.12,0.851,7.99,6.07,1240.54,0.161
2015-01-01,Jack,West,Consulting,31582.67,114.0,100.0,136286.17,8.68,51.6,6.72,1362.86,1496.46,0.418,0.68,97.52,6704.04,538.0,4789.0,0.185,0.884,8.38,5.91,1321.69,0.16
2015-01-01,Eve,West,Software,32230.24,130.0,100.0,44899.6,8.36,35.0,4.3,449.0,1561.67,0.28,0.85,102.4,7600.51,1345.0,3116.0,0.158,0.876,8.39,7.1,483.11,0.175
2015-01-01,Diana,North,Services,20808.81,90.0,100.0,35839.36,6.98,44.0,5.68,358.39,2000.0,0.292,0.77,100.72,5776.54,771.0,3779.0,0.105,0.904,7.87,5.97,397.64,0.165
2015-01-01,Alice,South,Software,46255.09,237.0,126.0,62266.7,8.68,38.0,5.5,493.85,1599.24,0.217,0.85,98.89,11624.71,2438.0,6990.0,0.122,0.842,8.3,6.57,533.23,0.159
2015-01-01,Charlie,Central,Services,50535.06,176.0,100.0,39030.52,8.7,42.5,5.41,390.31,1959.39,0.306,0.77,100.9,11930.38,1150.0,2937.0,0.146,0.972,8.57,6.66,379.24,0.173
2015-01-01,Ivy,Central,Hardware,42239.46,231.0,132.0,95649.34,7.81,50.6,5.4,724.65,1568.51,0.129,1.02,96.9,8771.22,1733.0,4015.0,0.116,0.797,7.59,6.63,751.15,0.171
2015-01-01,Eve,North,Support,46046.79,234.0,159.0,30995.29,8.09,51.4,5.8,195.4,1469.34,0.516,0.94,100.02,11306.53,1626.0,7777.0,0.134,0.86,7.89,6.76,161.67,0.16
2015-01-01,Jack,West,Consulting,25389.55,120.0,100.0,118834.78,8.41,39.3,5.96,1188.35,2000.0,0.318,0.68,97.22,7254.54,1902.0,5545.0,0.099,0.927,8.32,6.42,1143.63,0.165
2015-01-02,Diana,Central,Services,40303.83,201.0,127.0,45571.67,7.3,52.3,5.91,358.54,1343.55,0.284,0.77,102.53,11354.6,783.0,5047.0,0.149,0.86,8.03,7.06,342.66,0.157
2015-01-02,Bob,North,Hardware,56761.49,290.0,242.0,208561.04,7.86,40.5,5.99,860.62,1277.81,0.05,1.02,100.99,11821.02,1197.0,6794.0,0.153,0.869,7.68,6.61,884.42,0.173
2015-01-02,Ivy,South,Support,40671.48,165.0,108.0,22530.14,8.56,47.8,5.66,209.37,1778.34,0.466,0.94,100.55,8355.68,1610.0,4446.0,0.139,0.929,7.73,6.36,255.68,0.149
2015-01-02,Eve,West,Hardware,56986.3,321.0,261.0,210196.84,8.28,46.8,4.29,806.8,1192.51,0.092,1.02,104.25,12068.34,1730.0,5328.0,0.149,0.904,8.25,6.28,771.0,0.169
2015-01-02,Grace,West,Software,41430.31,245.0,170.0,83711.59,7.3,38.4,4.89,493.09,1207.18,0.217,0.85,100.86,11147.24,1383.0,8778.0,0.14,0.95,7.65,6.51,509.79,0.17
2015-01-02,Ivy,North,Services,36071.67,168.0,100.0,35798.4,7.61,39.7,5.29,357.98,1516.96,0.33,0.77,103.71,8674.2,671.0,4128.0,0.142,0.77,8.14,6.64,352.92,0.161
2015-01-02,Diana,East,Services,48123.73,271.0,161.0,64307.62,8.41,52.3,6.45,398.96,1011.38,0.298,0.77,97.17,11231.61,1231.0,5666.0,0.176,0.841,8.51,6.35,403.6,0.145
2015-01-02,Jack,South,Support,44088.93,150.0,100.0,20331.98,7.84,36.8,5.76,203.32,2000.0,0.457,0.94,102.73,10283.99,195.0,4910.0,0.14,0.925,8.03,6.89,213.25,0.159
2015-01-02,Eve,West,Hardware,54421.72,290.0,220.0,183150.75,8.04,37.0,5.41,833.73,1460.18,0.126,1.02,102.54,13093.06,2067.0,7268.0,0.129,0.902,7.66,6.27,794.71,0.176
2015-01-03,Grace,East,Hardware,48170.07,222.0,159.0,135498.79,8.78,51.1,5.91,851.05,1557.62,0.095,1.02,98.32,12981.58,2151.0,4096.0,0.139,0.952,8.33,6.72,820.62,0.184
2015-01-03,Diana,Central,Support,36565.61,162.0,100.0,18887.16,7.61,55.1,5.41,188.87,1718.99,0.449,0.94,102.37,8066.38,587.0,3271.0,0.131,0.904,7.87,5.65,168.26,0.162
